price,ranks,title,no_of_reviews,ratings,author,cover_type,year,genre
17.99,94.0,Atlas Shrugged,"14,137",4.5,Ayn Rand,Paperback,2009.0,Fiction
10.79,95.0,The White Tiger: A Novel,"6,013",4.3,Aravind Adiga,Paperback,2009.0,Fiction
17.89,96.0,"Now, Discover Your Strengths: The revolutionary Gallup program that shows you how to develop your unique talents and strengths",766,3.5,Gallup,Hardcover,2009.0,Non Fiction
16.14,97.0,Same Kind of Different As Me,"4,841",4.7,Ron Hall,Paperback,2009.0,Fiction
12.85,98.0,U is for Undertow: A Kinsey Millhone Novel,"2,801",4.6,Sue Grafton,Hardcover,2009.0,Fiction
9.49,99.0,Catching Fire (The Hunger Games),"32,459",4.7,Suzanne Collins,Hardcover,2009.0,Fiction
11.93,1.0,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),"11,051",4.7,Stieg Larsson,Hardcover,2010.0,Fiction
9.49,2.0,The Girl with the Dragon Tattoo (Millennium Series),"15,466",4.5,Stieg Larsson,Paperback,2010.0,Fiction
8.96,3.0,Decision Points,"2,399",4.6,George W. Bush,Hardcover,2010.0,Non Fiction
13.78,4.0,The Help,"18,068",4.8,Kathryn Stockett,Hardcover,2010.0,Fiction
11.12,5.0,The Girl Who Played with Fire (Millennium Series),"10,693",4.7,Stieg Larsson,Paperback,2010.0,Fiction
11.71,6.0,"The Ugly Truth (Diary of a Wimpy Kid, Book 5)","10,589",4.8,Jeff Kinney,Hardcover,2010.0,Fiction
18.29,7.0,StrengthsFinder 2.0,"7,082",4.1,Gallup,Hardcover,2010.0,Non Fiction
9.08,8.0,Mockingjay (The Hunger Games),"37,034",4.6,Suzanne Collins,Hardcover,2010.0,Fiction
13.92,9.0,Women Food and God: An Unexpected Path to Almost Everything,"1,967",4.4,Geneen Roth,Hardcover,2010.0,Non Fiction
24.29,10.0,"Publication Manual of the American Psychological Association, 6th Edition","12,674",4.5,American Psychological Association,Paperback,2010.0,Non Fiction
22.0,11.0,"Autobiography of Mark Twain, Vol. 1",612,4.4,Mark Twain,Hardcover,2010.0,Non Fiction
18.24,12.0,The Big Short: Inside the Doomsday Machine,"5,893",4.7,Michael Lewis,Hardcover,2010.0,Non Fiction
11.57,13.0,Food Rules: An Eater's Manual,"2,494",4.5,Michael Pollan,Paperback,2010.0,Non Fiction
14.54,14.0,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","33,629",4.8,Laura Hillenbrand,Hardcover,2010.0,Non Fiction
9.03,15.0,"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)","3,296",4.6,Charlaine Harris,Hardcover,2010.0,Fiction
14.99,16.0,Sh*t My Dad Says,"1,781",4.7,Justin Halpern,Hardcover,2010.0,Non Fiction
16.48,17.0,Crazy Love: Overwhelmed by a Relentless God,"1,920",4.7,Francis Chan,Paperback,2010.0,Non Fiction
10.59,18.0,The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),"6,165",4.7,Stephenie Meyer,Hardcover,2010.0,Fiction
13.8,19.0,Life,"4,699",4.6,Keith Richards,Hardcover,2010.0,Non Fiction
12.0,20.0,Cutting for Stone,"6,790",4.6,Abraham Verghese,Paperback,2010.0,Fiction
12.89,21.0,The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,576,4.5,Jon Stewart,Hardcover,2010.0,Non Fiction
41.0,22.0,The Official SAT Study Guide,"1,526",4.4,The College Board,Paperback,2010.0,Non Fiction
7.92,23.0,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime","1,358",4.5,John Heilemann,Hardcover,2010.0,Non Fiction
14.19,24.0,The Immortal Life of Henrietta Lacks,"16,936",4.7,Rebecca Skloot,Hardcover,2010.0,Non Fiction
14.53,25.0,"The Lost Hero (Heroes of Olympus, Book 1)","11,549",4.8,Rick Riordan,Hardcover,2010.0,Fiction
22.99,26.0,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,860,4.5,Doug Lemov,Paperback,2010.0,Non Fiction
16.04,27.0,Outliers: The Story of Success,"22,209",4.7,Malcolm Gladwell,Hardcover,2010.0,Non Fiction
9.49,28.0,Catching Fire (The Hunger Games),"32,459",4.7,Suzanne Collins,Hardcover,2010.0,Fiction
20.72,29.0,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition","6,296",4.6,Patrick Lencioni,Hardcover,2010.0,Non Fiction
16.5,30.0,Good to Great: Why Some Companies Make the Leap and Others Don't,"5,803",4.5,Jim Collins,Hardcover,2010.0,Non Fiction
11.49,31.0,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,"3,497",4.4,Greg Mortenson,Paperback,2010.0,Non Fiction
17.0,32.0,"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)","2,406",4.7,F. A. Hayek,Paperback,2010.0,Non Fiction
9.35,33.0,The Confession: A Novel,"7,914",4.4,John Grisham,Hardcover,2010.0,Fiction
16.97,34.0,"Delivering Happiness: A Path to Profits, Passion, and Purpose","3,242",4.6,Tony Hsieh,Hardcover,2010.0,Non Fiction
44.5,35.0,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,577,4.7,Larry Schweikart,Paperback,2010.0,Non Fiction
10.44,36.0,"The Last Olympian (Percy Jackson and the Olympians, Book 5)","14,955",4.8,Rick Riordan,Hardcover,2010.0,Fiction
16.99,37.0,Switch: How to Change Things When Change Is Hard,"3,912",4.6,Chip Heath,Hardcover,2010.0,Non Fiction
9.8,38.0,The Art of Racing in the Rain: A Novel,"16,418",4.7,Garth Stein,Paperback,2010.0,Fiction
23.99,39.0,The 5 Love Languages: The Secret to Love That Lasts,"7,012",4.7,Gary Chapman,Paperback,2010.0,Non Fiction
9.07,40.0,"Broke: The Plan to Restore Our Trust, Truth and Treasure",531,4.5,Glenn Beck,Hardcover,2010.0,Non Fiction
10.61,41.0,"The Red Pyramid (The Kane Chronicles, Book 1)","5,025",4.7,Rick Riordan,Hardcover,2010.0,Fiction
18.9,42.0,Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),"1,223",4.8,Rick Riordan,Paperback,2010.0,Fiction
10.2,43.0,Little Bee: A Novel,"1,902",4.2,Chris Cleave,Paperback,2010.0,Fiction
15.79,44.0,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips","1,371",4.8,Ina Garten,Hardcover,2010.0,Non Fiction
29.22,45.0,George Washington's Sacred Fire,612,4.6,Peter A. Lillback,Paperback,2010.0,Non Fiction
9.21,46.0,Radical: Taking Back Your Faith from the American Dream,"2,727",4.7,David Platt,Paperback,2010.0,Non Fiction
21.49,47.0,"Towers of Midnight (Wheel of Time, Book Thirteen)","7,325",4.8,Robert Jordan,Hardcover,2010.0,Fiction
10.83,48.0,Sarah's Key,"4,784",4.6,Tatiana de Rosnay,Paperback,2010.0,Fiction
22.6,49.0,The Hunger Games,"42,770",4.7,Suzanne Collins,Hardcover,2010.0,Fiction
19.99,51.0,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,"1,676",4.6,Stephen R. Covey,Paperback,2010.0,Non Fiction
12.0,52.0,Cleopatra: A Life,"1,586",4.2,Stacy Schiff,Hardcover,2010.0,Non Fiction
12.23,53.0,Freedom: A Novel,"2,718",4.0,Jonathan Franzen,Hardcover,2010.0,Fiction
17.48,54.0,Freedom,"2,718",4.0,Jonathan Franzen,Hardcover,2010.0,Fiction
18.49,55.0,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen","11,833",4.7,Christopher McDougall,Hardcover,2010.0,Non Fiction
16.98,56.0,Fall of Giants (The Century Trilogy),"18,702",4.5,Ken Follett,Hardcover,2010.0,Fiction
9.49,57.0,"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia","8,494",4.4,Elizabeth Gilbert,Paperback,2010.0,Non Fiction
9.27,58.0,"Eat Pray Love: One Woman's Search for Everything Across Italy, India and Indonesia","8,494",4.4,Elizabeth Gilbert,Paperback,2010.0,Non Fiction
27.57,59.0,Tao I: The Way of All Life,88,4.3,Zhi Gang Sha Dr.,Hardcover,2010.0,Non Fiction
9.65,60.0,Chelsea Chelsea Bang Bang,"1,045",4.4,Chelsea Handler,Hardcover,2010.0,Non Fiction
8.58,61.0,Let the Great World Spin: A Novel,"1,778",4.3,Colum McCann,Paperback,2010.0,Fiction
14.52,62.0,The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,"5,477",4.8,Ree Drummond,Hardcover,2010.0,Non Fiction
12.99,63.0,The Tipping Point: How Little Things Can Make a Big Difference,"5,732",4.4,Malcolm Gladwell,Paperback,2010.0,Non Fiction
10.33,64.0,The Omnivore's Dilemma: A Natural History of Four Meals,"3,678",4.6,Michael Pollan,Paperback,2010.0,Non Fiction
35.3,65.0,The Belly Fat Cure: Discover the New Carb Swap Systemâ„¢ and Lose 4 to 9 lbs. Every Week,"1,071",4.1,Jorge Cruise,Spiral-bound,2010.0,Non Fiction
7.99,66.0,"The Battle of the Labyrinth (Percy Jackson and the Olympians, Book 4)","13,936",4.8,Rick Riordan,Paperback,2010.0,Fiction
13.39,67.0,"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich","18,929",4.5,Timothy Ferriss,Hardcover,2010.0,Non Fiction
19.59,68.0,"Full Dark, No Stars","3,418",4.6,Stephen King,Hardcover,2010.0,Fiction
11.37,69.0,Sizzling Sixteen (Stephanie Plum Novels),"3,421",4.6,Janet Evanovich,Hardcover,2010.0,Fiction
15.99,70.0,The Grand Design,"2,790",4.5,Stephen Hawking,Hardcover,2010.0,Fiction
15.0,71.0,The Overton Window ,"1,311",4.6,Glenn Beck,Hardcover,2010.0,Fiction
7.53,72.0,"Jesus Calling, Padded Hardcover, with Scripture references","31,196",4.9,Sarah Young,Hardcover,2010.0,Non Fiction
12.6,73.0,Spoken from the Heart,668,4.6,Laura Bush,Hardcover,2010.0,Non Fiction
21.98,74.0,Diary of a Wimpy Kid Do-it-yourself Book,"9,371",4.8,Jeff Kinney,Hardcover,2010.0,Fiction
15.5,75.0,The Book of Awakening: Having the Life You Want by Being Present to the Life You Have,"3,959",4.7,Mark Nepo,Paperback,2010.0,Non Fiction
28.49,76.0,"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook","7,568",4.8,Julia Child,Hardcover,2010.0,Non Fiction
14.77,77.0,Safe Haven,"10,931",4.7,Nicholas Sparks,Hardcover,2010.0,Fiction
14.3,78.0,"Change Your Brain, Change Your Body: Use Your Brain to Get and Keep the Body You Have Always Wanted",853,4.5,Daniel G. Amen,Hardcover,2010.0,Non Fiction
18.93,79.0,"The Kind Diet: A Simple Guide to Feeling Great, Losing Weight, and Saving the Planet","1,572",4.5,Alicia Silverstone,Hardcover,2010.0,Non Fiction
44.99,80.0,Decoded,"1,514",4.7,Jay-Z,Hardcover,2010.0,Non Fiction
12.06,81.0,The Glass Castle: A Memoir (book),"19,006",4.6,Jeannette Walls,Paperback,2010.0,Non Fiction
13.4,82.0,The Shack: Where Tragedy Confronts Eternity,"23,392",4.7,William P. Young,Paperback,2010.0,Fiction
14.3,83.0,"Breaking Dawn (The Twilight Saga, Book 4)","16,912",4.7,Stephenie Meyer,Hardcover,2010.0,Fiction
23.23,84.0,Sookie Stackhouse 8-copy Boxed Set (Sookie Stackhouse / Southern Vampire),"1,234",4.7,Charlaine Harris,Mass Market Paperback,2010.0,Fiction
10.42,85.0,The Guernsey Literary and Potato Peel Pie Society,"14,884",4.7,Mary Ann Shaffer,Paperback,2010.0,Fiction
13.49,86.0,Hotel on the Corner of Bitter and Sweet,"6,239",4.6,Jamie Ford,Paperback,2010.0,Fiction
15.96,87.0,"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman","6,580",4.4,Timothy Ferriss,Hardcover,2010.0,Non Fiction
17.99,88.0,Crucial Conversations: Tools for Talking When Stakes are High,772,4.5,Kerry Patterson,Paperback,2010.0,Non Fiction
11.25,89.0,"Happy Ever After (Bride Quartet, Book 4)","2,206",4.7,Nora Roberts,Paperback,2010.0,Fiction
24.33,90.0,A Guide to the Project Management Body of Knowledge,726,4.4,Project Management Institute,Paperback,2010.0,Non Fiction
6.99,91.0,The Book Thief,"34,536",4.7,Markus Zusak,Paperback,2010.0,Fiction
13.49,92.0,The Catcher in the Rye,"30,925",4.5,J. D. Salinger,Paperback,2010.0,Fiction
24.0,93.0,"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet, Weight Loss, And Long-term Health","5,331",4.7,Thomas Campbell,Paperback,2010.0,Non Fiction
18.47,94.0,American Assassin: A Thriller (A Mitch Rapp Novel),"8,352",4.6,Vince Flynn,Hardcover,2010.0,Fiction
13.99,95.0,Rework,"5,996",4.5,Jason Fried,Hardcover,2010.0,Non Fiction
10.98,96.0,In Defense of Food: An Eater's Manifesto,"2,701",4.6,Michael Pollan,Paperback,2010.0,Non Fiction
12.92,97.0,Squirrel Seeks Chipmunk: A Modest Bestiary,935,4.1,David Sedaris,Hardcover,2010.0,Fiction
16.13,98.0,Who Moved My Cheese,"16,756",4.6,Spencer Johnson,Hardcover,2010.0,Fiction
17.33,1.0,Steve Jobs,"12,780",4.7,Walter Isaacson,Hardcover,2011.0,Non Fiction
10.24,2.0,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,"17,368",4.7,Todd Burpo,Paperback,2011.0,Non Fiction
10.99,3.0,"Cabin Fever (Diary of a Wimpy Kid, Book 6)","11,127",4.8,Jeff Kinney,Hardcover,2011.0,Fiction
18.29,4.0,StrengthsFinder 2.0,"7,082",4.1,Gallup,Hardcover,2011.0,Non Fiction
11.69,5.0,The Hunger Games (Book 1),"42,770",4.7,Suzanne Collins,Paperback,2011.0,Fiction
14.54,6.0,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","33,629",4.8,Laura Hillenbrand,Hardcover,2011.0,Non Fiction
15.0,7.0,Inheritance: Book IV (Inheritance Cycle),"9,010",4.7,Christopher Paolini,Hardcover,2011.0,Fiction
14.35,8.0,Go the F**k to Sleep,"20,243",4.8,Adam Mansbach,Hardcover,2011.0,Fiction
9.08,9.0,Mockingjay (The Hunger Games),"37,034",4.6,Suzanne Collins,Hardcover,2011.0,Fiction
54.98,10.0,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,"6,354",4.6,George R.R. Martin,Mass Market Paperback,2011.0,Fiction
9.49,11.0,Catching Fire (The Hunger Games),"32,459",4.7,Suzanne Collins,Hardcover,2011.0,Fiction
16.97,12.0,The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,"3,104",4.3,Mike Moreno,Hardcover,2011.0,Non Fiction
24.31,13.0,A Dance with Dragons (A Song of Ice and Fire),"17,252",4.5,George R. R. Martin,Hardcover,2011.0,Fiction
9.99,14.0,"The Son of Neptune (Heroes of Olympus, Book 2)","11,657",4.8,Rick Riordan,Hardcover,2011.0,Fiction
9.99,15.0,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),"10,849",4.7,Bill O'Reilly,Hardcover,2011.0,Non Fiction
24.29,16.0,"Publication Manual of the American Psychological Association, 6th Edition","12,674",4.5,American Psychological Association,Paperback,2011.0,Non Fiction
