price,date,product,market,measurement
1200.0,2019-01-02,"Beet, Mongolian",Bars,kilogram
1500.0,2019-01-02,"Beet, Mongolian",Bayanzurkh,kilogram
1500.0,2019-01-02,"Beet, Mongolian",Bumbugur,kilogram
1200.0,2019-01-02,"Beet, Mongolian",Kharkhorin,kilogram
1200.0,2019-01-02,"Beet, Mongolian",Khuchit Shonkhor,kilogram
1500.0,2019-01-02,"Beet, Mongolian",Mercury/Ikh Nayad,kilogram
1499.0,2019-01-02,"Beet, Mongolian",Nomin,kilogram
1500.0,2019-01-02,"Beet, Mongolian",Tavan Erdene,kilogram
900.0,2019-01-02,Brown Bread,Bars,gram
950.0,2019-01-02,Brown Bread,Bayanzurkh,gram
850.0,2019-01-02,Brown Bread,Bumbugur,gram
990.0,2019-01-02,Brown Bread,Emart,gram
900.0,2019-01-02,Brown Bread,Kharkhorin,gram
950.0,2019-01-02,Brown Bread,Khuchit Shonkhor,gram
1040.0,2019-01-02,Brown Bread,Max/M Mart,gram
1000.0,2019-01-02,Brown Bread,Mercury/Ikh Nayad,gram
969.0,2019-01-02,Brown Bread,Nomin,gram
1020.0,2019-01-02,Brown Bread,Orgil,gram
980.0,2019-01-02,Brown Bread,Sansar,gram
950.0,2019-01-02,Brown Bread,Tavan Erdene,gram
4200.0,2019-01-02,"Butter, Suu LTD",Bars,kilogram
4200.0,2019-01-02,"Butter, Suu LTD",Bayanzurkh,kilogram
4500.0,2019-01-02,"Butter, Suu LTD",Khuchit Shonkhor,kilogram
4290.0,2019-01-02,"Butter, Suu LTD",Max/M Mart,kilogram
900.0,2019-01-02,"Cabbage, Mongolian",Bars,kilogram
800.0,2019-01-02,"Cabbage, Mongolian",Bayanzurkh,kilogram
1000.0,2019-01-02,"Cabbage, Mongolian",Bumbugur,kilogram
790.0,2019-01-02,"Cabbage, Mongolian",Emart,kilogram
700.0,2019-01-02,"Cabbage, Mongolian",Kharkhorin,kilogram
1000.0,2019-01-02,"Cabbage, Mongolian",Khuchit Shonkhor,kilogram
1440.0,2019-01-02,"Cabbage, Mongolian",Max/M Mart,kilogram
1000.0,2019-01-02,"Cabbage, Mongolian",Mercury/Ikh Nayad,kilogram
1399.0,2019-01-02,"Cabbage, Mongolian",Nomin,kilogram
1499.0,2019-01-02,"Cabbage, Mongolian",Orgil,kilogram
1470.0,2019-01-02,"Cabbage, Mongolian",Sansar,kilogram
900.0,2019-01-02,"Cabbage, Mongolian",Tavan Erdene,kilogram
900.0,2019-01-02,"Carrot, Mongolian",Bars,kilogram
900.0,2019-01-02,"Carrot, Mongolian",Bayanzurkh,kilogram
1000.0,2019-01-02,"Carrot, Mongolian",Bumbugur,kilogram
1360.0,2019-01-02,"Carrot, Mongolian",Emart,kilogram
1000.0,2019-01-02,"Carrot, Mongolian",Kharkhorin,kilogram
